Sorted List. Range 100XSize
, 16384, 32768, 65536, 131072, 262144, 524288, 1048576
Quick, 108908.89, 208711.86, 420096.16, 965820.07, 2106720.21, 4754512.07, 9594630.0
Heap, 252587.08, 497907.88, 1069770.1, 2260254.86, 4837543.96, 10254190.92, 21720687.87
Merge, 131608.96, 217717.89, 460484.03, 975998.88, 2119611.98, 4530767.2, 9596575.98
Python, 16560.08, 813.01, 1754.05, 4814.15, 16964.91, 40313.96, 90652.94
Radix, 100759.98, 101414.92, 209246.16, 541776.18, 1291342.97, 2732215.88, 6202572.11
