Random Size List. Range 100XSize 
, 16384, 32768, 65536, 131072, 262144, 524288, 1048576
Quick, 100005.87, 205090.05, 425019.98, 882987.02, 1915566.92, 4305759.91, 9214030.98
Heap, 227010.97, 478857.04, 1024642.94, 2219831.94, 4775594.0, 10300189.02, 22000567.91
Merge, 137532.0, 283725.98, 600728.99, 1262079.0, 2663565.87, 5600965.98, 11838963.99
Python, 5671.02, 12319.09, 25769.0, 58913.95, 134807.83, 320219.04, 743216.04
Radix, 50493.0, 102447.03, 213253.02, 529502.87, 1224369.05, 2628803.97, 6038860.08
