Reversed List. Range 100XSize
, 16384, 32768, 65536, 131072, 262144, 524288, 1048576
Quick, 113564.01, 204198.12, 419152.98, 933336.97, 1992419.0, 4511749.03, 10317888.98
Heap, 241348.98, 453763.96, 997077.23, 2114999.06, 4504536.15, 9597532.99, 20421890.97
Merge, 125169.99, 217900.04, 454182.86, 980515.0, 2060043.1, 4418573.86, 9375566.01
Python, 18854.14, 1122.0, 2386.09, 6644.96, 20378.11, 48375.84, 103801.01
Radix, 104669.09, 102969.17, 208383.08, 540415.05, 1278895.14, 2712745.9, 6256535.05
