Small Range. 1/5 List Size
, 10, 20, 50, 100, 200, 500, 1000, 2000, 5000, 10000, 20000, 50000, 100000, 200000, 500000, 1000000
Quick, 9379788.16, 9765883.92, 9355646.85, 10173217.06, 9531173.94, 9522697.93, 9963684.08, 9359271.05, 9263437.99, 9376477.0, 9476787.09, 9571187.02, 9136255.03, 9862501.86, 9285945.89, 9149586.92
Heap, 21034023.05, 20889852.05, 20862080.1, 20860974.07, 20873957.87, 20826357.84, 20828037.98, 20805360.08, 20801807.17, 20799024.11, 20794941.9, 20789093.02, 20715288.88, 20789622.07, 20414190.05, 20429483.18
Insertion, 336256.03, 294000.15, 291526.08, 292352.91, 292588.0, 292811.16, 305105.92, 296774.15, 290618.9, 298043.97, 302924.87, 300636.05, 300539.02, 300292.02, 304575.2, 288551.81
Merge, 9087381.84, 8907322.17, 9169967.17, 10288989123.11, 9466477.87, 9623530.86, 9477765.08, 9566886.19, 10013705.02, 9325019.84, 9273678.06, 9295979.98, 9317029.0, 9293002.13, 9283396.96, 9300958.16
Python, 129047.87, 98387.0, 98510.98, 99721.19, 98288.06, 98607.06, 98772.05, 98487.14, 102061.99, 98264.93, 98725.08, 101723.91, 99066.97, 93363.05, 94614.98, 101314.07
Radix, 5482264.04, 5466672.18, 5514174.94, 5469868.9, 5491227.15, 5419008.97, 5458889.96, 5490715.03, 5506417.99, 5616158.96, 5801470.99, 5754386.9, 5513088.94, 5468348.98, 5478497.98, 5490709.07
