Reversed List. Range 100XSize
, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192
Quick, 109.91, 62.94, 158.07, 283.0, 614.88, 1954.08, 2571.82, 5708.93, 12018.92, 24950.03, 50990.1
Heap, 87.98, 61.04, 159.03, 396.01, 960.11, 2388.0, 4750.97, 10657.07, 24479.87, 55516.96, 116314.89
Insertion, 69.86, 83.92, 329.02, 1320.12, 7509.95, 20165.21, 84164.86, 357232.09, 1477948.9, 5869948.15, 23671384.1
Merge, 83.92, 128.03, 175.0, 378.85, 1134.16, 1466.04, 3107.07, 6585.12, 13792.99, 32339.1, 60992.0
Python, 40.05, 5.01, 4.05, 10.97, 10.01, 10.01, 21.93, 30.04, 66.04, 193.83, 259.16
Radix, 70.1, 74.15, 111.82, 200.03, 530.96, 815.15, 1590.01, 3518.1, 6919.15, 16371.01, 28060.91
Selection, 122.07, 38.15, 106.1, 349.04, 1478.2, 4268.88, 18940.93, 77611.92, 350827.93, 1239245.89, 5066222.19
